Manufacturer,Model,Nationality,Derivative,Doors,Engine Size,OTR,12 month 12k miles Part-Ex,24 month 24k miles Part-Ex,36 month 36k miles Part-Ex,48 month 48k miles  Part-Ex,12month 12k miles % of OTR,24 month 24k miles % of OTR,36 month 36k miles % of OTR,3YR % Depreciation,48 month 48k miles % of OTR
Kia,Venga (2010-),South Korea,5Dr Hatchback 1.4 CRDi DPF 89 EU5 1 6Spd,5,1.4,12895,8325.00,6850.00,5625.00,4800.00,0.6456,0.5312,0.4362,,0.3722
Hyundai,i20 (2012-),South Korea,5Dr Hatchback 1.1 CRDi DPF 70 EU5 Active 6Spd,5,1.1,12895,8400.00,6925.00,5675.00,4850.00,0.6514,0.537,0.4401,,0.3761
Fiat,500 (2008-),Italy/USA,3Dr Hatchback 0.9 TwinAir SS 85 EU5 Colour Therapy Dualogic Auto5,3,0.9,12910,8800.00,7225.00,5925.00,5075.00,0.6816,0.5596,0.4589,,0.3931
Vauxhall,Corsa (2011-),Britain,5Dr Hatchback 1.3 CDTi ecoFLEX DPF SS 75 EU5 Design,5,1.3,12940,8350.00,6875.00,5650.00,4800.00,0.6453,0.5313,0.4366,,0.3709
Ford,Fiesta (2012-),USA,3Dr Hatchback 1.25 82 EU5 Zetec,3,1.2,12945,7750.00,6325.00,5150.00,4375.00,0.5987,0.4886,0.3978,,0.338
Vauxhall,Adam (2012-),Britain,3Dr Hatchback 1.2 16V ecoFLEX SS 70 EU5 Glam,3,1.2,12945,7825.00,6425.00,5275.00,4500.00,0.6045,0.4963,0.4075,,0.3476
Peugeot,Bipper Tepee (2009-),France,5Dr MPV 1.3 HDi FAP 75 EU5 S,5,1.3,12945,8450.00,6950.00,5700.00,4850.00,0.6528,0.5369,0.4403,,0.3747
Vauxhall,Adam (2012-),Britain,3Dr Hatchback 1.2 16V 70 EU5 Jam Urban Style Technical,3,1.2,12950,7200.00,5925.00,4850.00,4150.00,0.556,0.4575,0.3745,,0.3205
Volkswagen,Polo (2014-),Germany,3Dr Hatchback 1.0 BlueMotion Tech SS 75 EU6 SE,3,1.0,12960,7975.00,6575.00,5375.00,4600.00,0.6154,0.5073,0.4147,,0.3549
Citroen,Berlingo Multispace (2008-),France,5Dr MPV 1.6VTi 95 EU5 VT,5,1.6,12960,8050.00,6650.00,5425.00,4650.00,0.6211,0.5131,0.4186,,0.3588
Fiat,Punto (2012-),Italy/USA,5Dr Hatchback 1.4 8V SS 77 EU6 Sporting,5,1.4,12960,8125.00,6700.00,5475.00,4700.00,0.6269,0.517,0.4225,,0.3627
Fiat,500 (2008-),Italy/USA,3Dr Hatchback 0.9 TwinAir SS 85 EU5 Lounge,3,0.9,12960,8750.00,7200.00,5900.00,5050.00,0.6752,0.5556,0.4552,,0.3897
Vauxhall,Adam (2012-),Britain,3Dr Hatchback 1.4 16V 87 EU5 Glam,3,1.4,12975,7950.00,6550.00,5350.00,4575.00,0.6127,0.5048,0.4123,,0.3526
Vauxhall,Corsa (2011-),Britain,3Dr Hatchback 1.0 12V ecoFLEX 65 EU5 Energy AC,3,1.0,12990,7400.00,6100.00,4975.00,4275.00,0.5697,0.4696,0.383,,0.3291
Skoda,Rapid (2012-),Czech,5Dr Hatchback 1.2 TSi 86 EU5 SE Connect,5,1.2,12990,8875.00,7300.00,5975.00,5125.00,0.6832,0.562,0.46,,0.3945
Chevrolet,Aveo (2011-),USA,5Dr Hatchback 1.4 SS 101 EU5 LTZ,5,1.4,12995,7200.00,5925.00,4850.00,4150.00,0.5541,0.4559,0.3732,,0.3194
Citroen,C3 Picasso (2009-),France,5Dr MPV 1.4VTi 16V 95 VT,5,1.4,12995,7525.00,6175.00,5025.00,4250.00,0.5791,0.4752,0.3867,,0.327
Toyota,iQ (2009-),Japan,3Dr Hatchback 1.0 VVTi 68 2 Mdrive CVT Auto,3,1.0,12995,8325.00,6850.00,5625.00,4800.00,0.6406,0.5271,0.4329,,0.3694
Toyota,iQ (2009-),Japan,3Dr Hatchback 1.33 Dual VVTi 98 EU5 3,3,1.3,12995,8400.00,6900.00,5675.00,4850.00,0.6464,0.531,0.4367,,0.3732
Vauxhall,Astra (2012-),Britain,5Dr Hatchback 1.4 16V 87 EU5 Expression,5,1.4,12995,8450.00,6950.00,5700.00,4875.00,0.6503,0.5348,0.4386,,0.3751
Ford,B-Max (2012-),USA,5Dr MPV 1.4 90 EU5 Studio,5,1.4,12995,8800.00,7225.00,5925.00,5075.00,0.6772,0.556,0.4559,,0.3905
Smart,ForTwo (2012-),Germany,2Dr Cabriolet 1.0 84 EU5 Cityflame Softtouch Auto5,2,1.0,12995,9000.00,7400.00,6075.00,5200.00,0.6926,0.5694,0.4675,,0.4002
Mazda,2 (2007-),Italy,5Dr Hatchback 1.3 84 EU5 Venture,5,1.3,12995,9000.00,7400.00,6075.00,5200.00,0.6926,0.5694,0.4675,,0.4002
Peugeot,2008 (2013-),France,5Dr SUV 1.2 VTi 82 EU5 Access+,5,1.2,12995,9850.00,8025.00,6550.00,5575.00,0.758,0.6175,0.504,,0.429
Fiat,500L (2013-),Italy/USA,5Dr Hatchback 1.4 95 EU6 Pop 6Spd,5,1.4,13000,8125.00,6700.00,5475.00,4700.00,0.625,0.5154,0.4212,,0.3615
Aixam,Crossover (2012-),France,3Dr Hatchback 0.5 20 GTR CVT Auto,3,0.5,13020,5350.00,4400.00,3625.00,3100.00,0.4109,0.3379,0.2784,,0.2381
Vauxhall,Corsa (2011-),Britain,3Dr Hatchback 1.2 16V 85 EU5 Energy,3,1.2,13030,7275.00,5950.00,4900.00,4200.00,0.5583,0.4566,0.3761,,0.3223
Chevrolet,Aveo (2011-),USA,5Dr Hatchback 1.4 100 EU5 LT Auto6,5,1.4,13035,7325.00,6000.00,4925.00,4225.00,0.5619,0.4603,0.3778,,0.3241
Skoda,Fabia (2010-),Czech,5Dr Hatchback 1.2 TSi 105 EU5 S DSG Auto7,5,1.2,13035,7750.00,6375.00,5225.00,4450.00,0.5946,0.4891,0.4008,,0.3414
Vauxhall,Agila (2008-),Britain,5Dr MPV 1.2 VVT 94 S AC Auto4,5,1.2,13040,7525.00,6200.00,5100.00,4350.00,0.5771,0.4755,0.3911,,0.3336
Skoda,Fabia (2010-),Czech,5Dr Estate 1.6 TDi CR DPF 75 EU5 S,5,1.6,13045,8900.00,7325.00,6000.00,5150.00,0.6823,0.5615,0.4599,,0.3948
Peugeot,208 (2012-),France,3Dr Hatchback 1.4 HDi FAP 70 EU5 Access+,3,1.4,13045,9225.00,7575.00,6225.00,5300.00,0.7072,0.5807,0.4772,,0.4063
Mitsubishi,Mirage (2013-),Japan,5Dr Hatchback 1.2 SS 79 EU5 3 CVT Auto,5,1.2,13054,7575.00,6250.00,5125.00,4375.00,0.5803,0.4788,0.3926,,0.3351
Fiat,500 (2008-),Italy/USA,3Dr Hatchback 1.2 8V SS 69 EU5 Cult,3,1.2,13060,8625.00,7100.00,5825.00,5000.00,0.6604,0.5436,0.446,,0.3828
Volkswagen,Polo (2014-),Germany,5Dr Hatchback 1.0 BlueMotion Tech SS 60 EU6 SE,5,1.0,13065,9400.00,7750.00,6350.00,5425.00,0.7195,0.5932,0.486,,0.4152
Smart,ForTwo (2012-),Germany,2Dr Cabriolet 0.8CDI DPF 54 EU5 Passion Softtouch Auto5,2,0.8,13075,9225.00,7575.00,6225.00,5300.00,0.7055,0.5793,0.4761,,0.4054
Vauxhall,Corsa (2011-),Britain,5Dr Hatchback 1.2 16V 85 EU5 S AC,5,1.2,13080,7050.00,5800.00,4750.00,4075.00,0.539,0.4434,0.3631,,0.3115
Volkswagen,Up (2011-),Germany,3Dr Hatchback 1.0 75 EU5 Rock up,3,1.0,13080,8200.00,6725.00,5550.00,4725.00,0.6269,0.5141,0.4243,,0.3612
Vauxhall,Adam (2012-),Britain,3Dr Hatchback 1.4 16V ecoFLEX SS 100 EU5 Jam Style,3,1.4,13095,7375.00,6050.00,5000.00,4275.00,0.5632,0.462,0.3818,,0.3265
Seat,Ibiza (2012-),Spanish,5Dr Hatchback 1.4 16V 85 EU5 SE,5,1.4,13095,8450.00,6950.00,5725.00,4875.00,0.6453,0.5307,0.4372,,0.3723
Smart,ForTwo (2012-),Germany,2Dr Cabriolet 1.0 84 EU5 Passion Luxury Softouch Auto5,2,1.0,13095,8925.00,7350.00,6025.00,5150.00,0.6816,0.5613,0.4601,,0.3933
Nissan,Micra (2013-),Japan,5Dr Hatchback 1.2 12V 80 EU5 Tekna,5,1.2,13100,8750.00,7200.00,5900.00,5050.00,0.6679,0.5496,0.4504,,0.3855
Vauxhall,Corsa (2011-),Britain,3Dr Hatchback 1.2 16V 85 EU5 S AC EasyT Auto5,3,1.2,13105,7400.00,6100.00,4975.00,4275.00,0.5647,0.4655,0.3796,,0.3262
Fiat,500 (2008-),Italy/USA,3Dr Hatchback 0.9 TwinAir SS 85 EU5 S,3,0.9,13110,8800.00,7225.00,5925.00,5075.00,0.6712,0.5511,0.4519,,0.3871
Vauxhall,Adam (2012-),Britain,3Dr Hatchback 1.2 16V 70 EU5 Glam Technical,3,1.2,13145,8050.00,6625.00,5425.00,4650.00,0.6124,0.504,0.4127,,0.3537
Nissan,Micra (2013-),Japan,5Dr Hatchback 1.2 12V 80 EU5 Acenta Limited Edition CVT Auto,5,1.2,13150,7875.00,6450.00,5300.00,4550.00,0.5989,0.4905,0.403,,0.346
Vauxhall,Adam (2012-),Britain,3Dr Hatchback 1.2 16V 70 EU5 Slam,3,1.2,13150,8075.00,6650.00,5450.00,4650.00,0.6141,0.5057,0.4144,,0.3536
Citroen,C3 (2013-),France,5Dr Hatchback 1.4 HDi DPF 70 EU5 VT,5,1.4,13150,9175.00,7550.00,6200.00,5300.00,0.6977,0.5741,0.4715,,0.403
Fiat,500 CC (2009-),Italy/USA,2Dr Convertible 1.2 8V SS 69 EU5 Pop,2,1.2,13160,8700.00,7150.00,5850.00,5025.00,0.6611,0.5433,0.4445,,0.3818
Peugeot,Partner Tepee (2012-),France,5Dr MPV 1.6 VTi 98 EU5 Urban,5,1.6,13165,7950.00,6550.00,5375.00,4600.00,0.6039,0.4975,0.4083,,0.3494
Vauxhall,Corsa (2011-),Britain,5Dr Hatchback 1.3 CDTi ecoFLEX DPF 75 EU5 Design AC,5,1.3,13185,8225.00,6750.00,5550.00,4725.00,0.6238,0.5119,0.4209,,0.3584
Skoda,Rapid (2012-),Czech,5Dr Hatchback 1.2 75 EU5 S,5,1.2,13190,7800.00,6400.00,5250.00,4500.00,0.5914,0.4852,0.398,,0.3412
Vauxhall,Corsa (2011-),Britain,5Dr Hatchback 1.2 16V 85 EU5 S EasyT Auto5,5,1.2,13195,6975.00,5725.00,4700.00,4025.00,0.5286,0.4339,0.3562,,0.305
Vauxhall,Adam (2012-),Britain,3Dr Hatchback 1.4 16V 100 EU5 Jam Extreme,3,1.4,13195,7575.00,6225.00,5125.00,4375.00,0.5741,0.4718,0.3884,,0.3316
Renault,Clio (2012-),France,5Dr Hatchback 0.9TCe SS 90 EU5 Expression +,5,0.9,13195,8275.00,6800.00,5600.00,4775.00,0.6271,0.5153,0.4244,,0.3619
Renault,Clio (2012-),France,5Dr Hatchback 1.2 16V 75 EU5 Dynamique MediaNav,5,1.2,13195,8275.00,6800.00,5600.00,4775.00,0.6271,0.5153,0.4244,,0.3619
Nissan,Juke (2010-),Japan,5Dr SUV 1.6 94 EU5 Visia,5,1.6,13195,9850.00,8075.00,6650.00,5675.00,0.7465,0.612,0.504,,0.4301
Nissan,Micra (2013-),Japan,5Dr Hatchback 1.2 12V 80 EU5 Acenta SNav CVT Auto,5,1.2,13200,7875.00,6450.00,5300.00,4550.00,0.5966,0.4886,0.4015,,0.3447
Citroen,DS3 (2010-),France,3Dr Hatchback 1.2VTi 82 EU5 DSign+,3,1.2,13200,9275.00,7600.00,6250.00,5325.00,0.7027,0.5758,0.4735,,0.4034
Citroen,Nemo Multispace (2009-),France,5Dr MPV 1.3HDi SS 75 EU5 EGS Auto5,5,1.3,13245,7975.00,6550.00,5375.00,4600.00,0.6021,0.4945,0.4058,,0.3473
Hyundai,i20 (2012-),South Korea,5Dr Hatchback 1.4 100 EU5 Style 6Spd,5,1.4,13245,8075.00,6650.00,5450.00,4650.00,0.6097,0.5021,0.4115,,0.3511
Chevrolet,Aveo (2011-),USA,5Dr Hatchback 1.3 VCDi ECO SS 95 EU5 LT,5,1.3,13245,8350.00,6875.00,5650.00,4825.00,0.6304,0.5191,0.4266,,0.3643
Chrysler,Ypsilon (2011-),USA,5Dr Hatchback 0.9 TwinAir SS 85 EU5 SE,5,0.9,13250,8025.00,6600.00,5425.00,4625.00,0.6057,0.4981,0.4094,,0.3491
Hyundai,i20 (2012-),South Korea,5Dr Hatchback 1.4 100 EU5 Active Auto4,5,1.4,13250,8075.00,6650.00,5450.00,4650.00,0.6094,0.5019,0.4113,,0.3509
Vauxhall,Adam (2012-),Britain,3Dr Hatchback 1.4 16V 87 EU5 Jam Urban Style Technical,3,1.4,13275,7325.00,6025.00,4950.00,4250.00,0.5518,0.4539,0.3729,,0.3202
Vauxhall,Corsa (2011-),Britain,5Dr Hatchback 1.0 12V ecoFLEX 65 EU5 Energy,5,1.0,13280,6975.00,5725.00,4700.00,4025.00,0.5252,0.4311,0.3539,,0.3031
Suzuki,Jimny (1998-),Japan,3Dr Hardtop 1.3 VVT 85 SZ4,3,1.3,13295,7925.00,6525.00,5350.00,4550.00,0.5961,0.4908,0.4024,,0.3422
Peugeot,208 (2012-),France,5Dr Hatchback 1.2 VTi 82 EU5 Active,5,1.2,13295,8375.00,6875.00,5650.00,4825.00,0.6299,0.5171,0.425,,0.3629
Kia,Rio (2011-),South Korea,5Dr Hatchback 1.4 EcoDynamics SS 107 EU5 2 6Spd,5,1.4,13295,8800.00,7200.00,5850.00,4950.00,0.6619,0.5416,0.44,,0.3723
Nissan,Micra (2013-),Japan,5Dr Hatchback 1.2 DIG-S SS 98 EU5 Acenta SNav,5,1.2,13300,8200.00,6750.00,5550.00,4725.00,0.6165,0.5075,0.4173,,0.3553
Aixam,Mega eCity (2009-),France,3Dr Hatchback 0.0Electric 2 Seat Auto,3,0.0,13304,5275.00,4325.00,3575.00,3050.00,0.3965,0.3251,0.2687,,0.2293
Seat,Ibiza (2012-),Spanish,3Dr Sport Coupe 1.2 TDI CR DPF 75 EU5 S AC,3,1.2,13305,9225.00,7550.00,6225.00,5300.00,0.6933,0.5675,0.4679,,0.3983
Citroen,C3 (2013-),France,5Dr Hatchback 1.2 VTi 82 EU5 VTR+,5,1.2,13310,8800.00,7250.00,5925.00,5075.00,0.6612,0.5447,0.4452,,0.3813
Vauxhall,Corsa (2011-),Britain,3Dr Hatchback 1.2 16V 85 EU5 Energy AC,3,1.2,13335,7475.00,6150.00,5050.00,4300.00,0.5606,0.4612,0.3787,,0.3225
Vauxhall,Corsa (2011-),Britain,5Dr Hatchback 1.2 16V ecoFLEX SS 85 EU5 S AC,5,1.2,13345,7225.00,5925.00,4875.00,4175.00,0.5414,0.444,0.3653,,0.3129
Vauxhall,Adam (2012-),Britain,3Dr Hatchback 1.2 16V 70 EU5 Glam Style,3,1.2,13345,7950.00,6550.00,5350.00,4575.00,0.5957,0.4908,0.4009,,0.3428
Vauxhall,Corsa (2011-),Britain,3Dr Hatchback 1.3 CDTi ecoFLEX DPF SS 95 EU5 Design AC,3,1.3,13355,9650.00,7950.00,6500.00,5575.00,0.7226,0.5953,0.4867,,0.4174
Fiat,Qubo (2009-),Italy/USA,5Dr Estate 1.3 16V Multijet DPF SS 75 EU5 Active,5,1.3,13365,7700.00,6325.00,5200.00,4425.00,0.5761,0.4733,0.3891,,0.3311
Skoda,Fabia (2010-),Czech,5Dr Hatchback 1.6 TDi CR DPF 75 EU5 SE,5,1.6,13365,8425.00,6925.00,5700.00,4850.00,0.6304,0.5181,0.4265,,0.3629
Peugeot,208 (2012-),France,3Dr Hatchback 1.2 e-VTi SS 82 EU5 Active EGC Auto5,3,1.2,13395,8525.00,7000.00,5750.00,4900.00,0.6364,0.5226,0.4293,,0.3658
Honda,Jazz (2011-),Japan,5Dr Hatchback 1.2 i-VTEC EU5 90 SS SE,5,1.2,13395,8575.00,7075.00,5800.00,4975.00,0.6402,0.5282,0.433,,0.3714
Kia,Rio (2011-),South Korea,3Dr Hatchback 1.4 107 EU5 3 6Spd,3,1.4,13395,8750.00,7175.00,5825.00,4925.00,0.6532,0.5356,0.4349,,0.3677
