Manufacturer,Model,Nationality,Derivative,Doors,Engine Size,OTR,12 month 12k miles Part-Ex,24 month 24k miles Part-Ex,36 month 36k miles Part-Ex,48 month 48k miles  Part-Ex,12month 12k miles % of OTR,24 month 24k miles % of OTR,36 month 36k miles % of OTR,3YR % Depreciation,48 month 48k miles % of OTR
MG Motor UK,MG3 (2013-),Britain,5Dr Hatchback 1.5 106 EU5 3 Time,5,1.5,8399,5175.00,4225.00,3450.00,2925.00,0.6161,0.503,0.4108,,0.3483
MG Motor UK,MG3 (2013-),Britain,5Dr Hatchback 1.5 106 EU5 3 Form,5,1.5,9299,5325.00,4350.00,3550.00,3025.00,0.5726,0.4678,0.3818,,0.3253
MG Motor UK,MG3 (2013-),Britain,5Dr Hatchback 1.5 106 EU5 3 Style,5,1.5,9999,5600.00,4575.00,3725.00,3150.00,0.5601,0.4575,0.3725,,0.315
Alfa Romeo,Mito (2011-),Italy,3Dr Hatchback 875 TB TwinAir SS 105 EU6 Sprint 6Spd,3,0.0,14350,9075.00,7450.00,6100.00,5225.00,0.6324,0.5192,0.4251,,0.3641
