Manufacturer,Model,Nationality,Derivative,Doors,Engine Size,OTR,12 month 12k miles Part-Ex,24 month 24k miles Part-Ex,36 month 36k miles Part-Ex,48 month 48k miles  Part-Ex,12month 12k miles % of OTR,24 month 24k miles % of OTR,36 month 36k miles % of OTR,3YR % Depreciation,48 month 48k miles % of OTR
Lexus,IS (2013-),Japan,250 4Dr Saloon 2.5 V6 208 EU5 Premier 17inch Alloys ACC PCS AHB LDA Auto6,4,2.5,37035,_21900.00,_18000.00,_14775.00,_12625.00,0.5913,0.486,0.3989,,0.3409
Ford,Focus (2011-),USA,5Dr Hatchback 1.0EcoBoost SS 100 EU5 Zetec Navi,5,1.0,18345,_10850.00,_8900.00,_7300.00,_6250.00,0.5914,0.4851,0.3979,,0.3407
Skoda,Rapid (2012-),Czech,5Dr Hatchback 1.2 75 EU5 S,5,1.2,13190,_7800.00,_6400.00,_5250.00,_4500.00,0.5914,0.4852,0.398,,0.3412
Vauxhall,Corsa (2011-),Britain,3Dr Hatchback 1.3 CDTi ecoFLEX DPF 75 S,3,1.3,13570,_8025.00,_6600.00,_5400.00,_4625.00,0.5914,0.4864,0.3979,,0.3408
Vauxhall,Astra (2012-),Britain,5Dr Hatchback 1.7 CDTi ecoFLEX DPF SS 130 EU5 Tech Line 6Spd,5,1.7,19235,_11375.00,_9350.00,_7675.00,_6525.00,0.5914,0.4861,0.399,,0.3392
BMW,2 Series (2013-),Germany,220i 2Dr Coupe 2.0 SS 184 EU6 SE Auto8,2,2.0,26590,_15725.00,_12950.00,_10625.00,_9075.00,0.5914,0.487,0.3996,,0.3413
Vauxhall,Cascada (2012-),Britain,2Dr Convertible 1.6 T 16V SS 200 EU5 SE 6Spd,2,1.6,25910,_15325.00,_12575.00,_10325.00,_8850.00,0.5915,0.4853,0.3985,,0.3416
Citroen,C4 Grand Picasso (2013-),France,5Dr MPV 2.0 BlueHDi DPFR SS 150 EU6 Exclusive+ Auto6,5,2.0,27855,_16475.00,_13550.00,_11125.00,_9500.00,0.5915,0.4864,0.3994,,0.3411
Alfa Romeo,Mito (2011-),Italy,3Dr Hatchback 875 TB TwinAir SS 105 EU6 Sportiva 6Spd,3,0.0,16100,_9525.00,_7825.00,_6425.00,_5475.00,0.5916,0.486,0.3991,,0.3401
Honda,Jazz (2011-),Japan,5Dr Hatchback 1.4 i-VTEC EU5 99 ES+ T,5,1.4,15890,_9400.00,_7725.00,_6350.00,_5425.00,0.5916,0.4862,0.3996,,0.3414
Vauxhall,Astra GTC (2011-),Britain,3Dr Hatchback 1.7 CDTi ecoFLEX DPF SS 110 EU5 Limited Edition 6Spd,3,1.7,21550,_12750.00,_10500.00,_8600.00,_7350.00,0.5916,0.4872,0.3991,,0.3411
Toyota,iQ (2009-),Japan,3Dr Hatchback 1.33 Dual VVTi 98 3 SNav Leather CVT Auto,3,1.3,15465,_9150.00,_7525.00,_6175.00,_5275.00,0.5917,0.4866,0.3993,,0.3411
Mazda,6 (2012-),Italy,5Dr Tourer 2.0 SKYACTIV SS 165 EU5 Sport 6Spd,5,2.0,24295,_14375.00,_11850.00,_9700.00,_8300.00,0.5917,0.4878,0.3993,,0.3416
BMW,3 Series (2011-),Germany,335i 5Dr Touring 3.0 SS 306 EU6 M Sport Professional Media 6Spd,5,3.0,40940,_24225.00,_19925.00,_16350.00,_14000.00,0.5917,0.4867,0.3994,,0.342
Volkswagen,Passat (2010-),Germany,5Dr Estate 1.4 TSI BlueMotion Tech SS 122 EU5 S 6Spd,5,1.4,21585,_12775.00,_10525.00,_8625.00,_7375.00,0.5918,0.4876,0.3996,,0.3417
Audi,A4 (2011-),Germany,4Dr Saloon 1.8 TFSI SS 170 EU6 S line 6Spd,4,1.8,28555,_16900.00,_13875.00,_11425.00,_9750.00,0.5918,0.4859,0.4001,,0.3414
Honda,Accord (2011-),Japan,4Dr Saloon 2.2 i-DTEC DPF 150 EU5 ES GT SN Auto5,4,2.2,29065,_17200.00,_14150.00,_11600.00,_9925.00,0.5918,0.4868,0.3991,,0.3415
Fiat,Punto (2012-),Italy/USA,3Dr Hatchback 1.2 8V 69 EU6 Easy,3,1.2,11150,_6600.00,_5400.00,_4425.00,_3800.00,0.5919,0.4843,0.3969,,0.3408
Vauxhall,Zafira Tourer (2011-),Britain,5Dr MPV 2.0 CDTi DPF 130 EU5 Exclusiv 6Spd,5,2.0,24075,_14250.00,_11700.00,_9600.00,_8225.00,0.5919,0.486,0.3988,,0.3416
Jaguar,XK & XKR (2011-),Britain,XK 2Dr Coupe 5.0 V8 385 EU5 Artisan Special Edition Auto6,2,5.0,77380,_45800.00,_37675.00,_30925.00,_26425.00,0.5919,0.4869,0.3997,,0.3415
Ford,Focus (2011-),USA,5Dr Estate 1.0EcoBoost 100 EU5 Edge,5,1.0,17695,_10475.00,_8600.00,_7050.00,_6025.00,0.592,0.486,0.3984,,0.3405
Chrysler,Ypsilon (2011-),USA,5Dr Hatchback 1.2 SS 69 EU5 S-Series,5,1.2,12795,_7575.00,_6225.00,_5100.00,_4375.00,0.592,0.4865,0.3986,,0.3419
Vauxhall,Adam (2012-),Britain,3Dr Hatchback 1.2 16V 70 EU5 Jam Style,3,1.2,11950,_7075.00,_5800.00,_4750.00,_4075.00,0.5921,0.4854,0.3975,,0.341
BMW,2 Series (2013-),Germany,218i 5Dr Active Tourer 1.5 SS 136 EU6 Luxury Auto6,5,1.5,25375,_15025.00,_12350.00,_10150.00,_8650.00,0.5921,0.4867,0.4,,0.3409
Mercedes Benz,E Class (2013-),Germany,E250 4Dr Saloon 2.0 SS 211 EU6 SE 7G-T+ Auto,4,2.0,35465,_21000.00,_17275.00,_14175.00,_12125.00,0.5921,0.4871,0.3997,,0.3419
Vauxhall,Insignia (2013-),Britain,5Dr Sports Tourer 2.0 CDTi ecoFLEX DPF SS 140 EU5 SRi 6Spd,5,2.0,22294,_13200.00,_10825.00,_8825.00,_7475.00,0.5921,0.4856,0.3958,,0.3353
BMW,3 Series (2011-),Germany,330d xDrive 4Dr Saloon 3.0 BluePerformance DPF SS 258 EU6 Luxury Auto8,4,3.0,39095,_23150.00,_19025.00,_15625.00,_13350.00,0.5921,0.4866,0.3997,,0.3415
Chevrolet,Camaro (2011-),USA,2Dr Coupe 6.2 V8 426 EU5 Hot Wheels 6Spd,2,6.2,40280,_23850.00,_19825.00,_16450.00,_14250.00,0.5921,0.4922,0.4084,,0.3538
Vauxhall,Astra (2012-),Britain,5Dr Hatchback 1.7 CDTi ecoFLEX DPF SS 110 EU5 Design 6Spd,5,1.7,17435,_10325.00,_8475.00,_6950.00,_5950.00,0.5922,0.4861,0.3986,,0.3413
Nissan,Qashqai (2010-),Japan,5Dr Hatchback 4WD 2.0 dCi DPF 150 EU5 Tekna AVM Auto6,5,2.0,27650,_16375.00,_13475.00,_11050.00,_9450.00,0.5922,0.4873,0.3996,,0.3418
BMW,5 Series (2013-),Germany,528i 4Dr Saloon 2.0 SS 245 EU6 Modern Professional Media 6Spd,4,2.0,38745,_22950.00,_18875.00,_15500.00,_13225.00,0.5923,0.4872,0.4001,,0.3413
BMW,5 Series (2013-),Germany,528i 5Dr Touring 2.0 SS 245 EU6 Luxury 6Spd,5,2.0,40690,_24100.00,_19800.00,_16250.00,_13875.00,0.5923,0.4866,0.3994,,0.341
Vauxhall,Insignia (2013-),Britain,5Dr Sports Tourer 2.0 CDTi ecoFLEX DPF SS 163 EU5 Limited Edition 6Spd,5,2.0,25409,_15050.00,_12300.00,_10025.00,_8500.00,0.5923,0.4841,0.3945,,0.3345
Ford,Focus (2011-),USA,5Dr Estate 1.0EcoBoost 100 EU5 Zetec,5,1.0,18695,_11075.00,_9100.00,_7475.00,_6375.00,0.5924,0.4868,0.3998,,0.341
Kia,Pro Ceed (2013-),South Korea,3Dr Hatchback 1.6 CRDi EcoDynamics DPF SS 126 EU5 SE 6Spd,3,1.6,20595,_12200.00,_10050.00,_8250.00,_7025.00,0.5924,0.488,0.4006,,0.3411
Toyota,Verso (2013-),Japan,5Dr MPV 1.6 D-4D DPF SS 110 EU5 Excel SNav Panoramic Roof 6Spd,5,1.6,25195,_14925.00,_12250.00,_10075.00,_8600.00,0.5924,0.4862,0.3999,,0.3413
Honda,Civic (2011-),Japan,5Dr Tourer 1.8 i-VTEC SS 142 EU5 SR 6Spd,5,1.8,24350,_14425.00,_11875.00,_9750.00,_8325.00,0.5924,0.4877,0.4004,,0.3419
Renault,Megane Coupe (2013-),France,3Dr Coupe 2.0 T SS 265 EU5 Renault Sport Cup Chassis Pack 6Spd,3,2.0,28275,_16750.00,_13775.00,_11325.00,_9650.00,0.5924,0.4872,0.4005,,0.3413
BMW,3 Series (2011-),Germany,328i 5Dr Touring 2.0 SS 245 EU6 SE Business Media 6Spd,5,2.0,31990,_18950.00,_15575.00,_12800.00,_10925.00,0.5924,0.4869,0.4001,,0.3415
Kia,Optima (2012-),South Korea,4Dr Saloon 1.7 CRDi DPF 134 EU5 2 Luxe Auto6,4,1.7,23205,_13750.00,_11325.00,_9300.00,_7925.00,0.5925,0.488,0.4008,,0.3415
Kia,Optima (2012-),South Korea,4Dr Saloon 1.7 CRDi DPF 134 EU5 2 Tech Auto6,4,1.7,23205,_13750.00,_11325.00,_9300.00,_7925.00,0.5925,0.488,0.4008,,0.3415
Vauxhall,Astra (2012-),Britain,5Dr Hatchback 1.7 CDTi ecoFLEX DPF SS 130 EU5 Design 6Spd,5,1.7,18060,_10700.00,_8800.00,_7225.00,_6175.00,0.5925,0.4873,0.4001,,0.3419
Vauxhall,Insignia (2013-),Britain,5Dr Sports Tourer 2.0 CDTi DPF 130 EU5 Design Nav 6Spd,5,2.0,20254,_12000.00,_9825.00,_8000.00,_6775.00,0.5925,0.4851,0.395,,0.3345
Ford,B-Max (2012-),USA,5Dr MPV 1.0 EcoBoost SS 125 EU5 Titanium X,5,1.0,18395,_10900.00,_8950.00,_7350.00,_6275.00,0.5926,0.4865,0.3996,,0.3411
Vauxhall,Adam (2012-),Britain,3Dr Hatchback 1.4 16V ecoFLEX SS 100 EU5 Glam,3,1.4,13795,_8175.00,_6700.00,_5500.00,_4700.00,0.5926,0.4857,0.3987,,0.3407
Subaru,XV (2012-),Japan,5Dr SUV 1.6i SS 114 EU5 SE Lux Leather LTronic Auto6,5,1.6,23415,_13875.00,_11425.00,_9375.00,_8000.00,0.5926,0.4879,0.4004,,0.3417
Mercedes Benz,C Class (2011-),Germany,C220 5Dr Estate 2.1 CDi DPF SS 170 EU5 Executive SE Premium Plus 7G-T+ Auto,5,2.1,34165,_20250.00,_16675.00,_13675.00,_11675.00,0.5927,0.4881,0.4003,,0.3417
Peugeot,308 (2013-),France,5Dr Hatchback 1.6 THP 125 EU5 Active 6Spd,5,1.6,17545,_10400.00,_8550.00,_7000.00,_5975.00,0.5928,0.4873,0.399,,0.3406
BMW,5 Series (2013-),Germany,528i 5Dr Touring 2.0 SS 245 EU6 Luxury Auto8,5,2.0,42130,_24975.00,_20575.00,_16875.00,_14400.00,0.5928,0.4884,0.4005,,0.3418
Vauxhall,Insignia (2013-),Britain,5Dr Sports Tourer 2.0 CDTi ecoFLEX DPF SS 120 EU5 Design 6Spd,5,2.0,20244,_12000.00,_9825.00,_8000.00,_6775.00,0.5928,0.4853,0.3952,,0.3347
Fiat,Doblo (2010-),Italy/USA,5Dr MPV High Roof 1.4 16V SS 95 EU5 Eleganza Family,5,1.4,16865,_10000.00,_8225.00,_6750.00,_5775.00,0.5929,0.4877,0.4002,,0.3424
Renault,Megane (2013-),France,5Dr Hatchback 1.5 dCi ENERGY FAP SS 110 EU5 GT Line TomTom 6Spd,5,1.5,20745,_12300.00,_10125.00,_8325.00,_7125.00,0.5929,0.4881,0.4013,,0.3435
Vauxhall,Insignia (2013-),Britain,5Dr Sports Tourer 2.0 CDTi ecoFLEX DPF SS 140 EU5 Energy 6Spd,5,2.0,23949,_14200.00,_11600.00,_9450.00,_8025.00,0.5929,0.4844,0.3946,,0.3351
BMW,3 Series (2011-),Germany,335i 5Dr Touring 3.0 SS 306 EU6 M Sport Business Media Auto8,5,3.0,41490,_24600.00,_20225.00,_16625.00,_14200.00,0.5929,0.4875,0.4007,,0.3423
Ford,Focus (2011-),USA,5Dr Hatchback 1.6 125 EU5 Zetec PowerShift Auto6,5,1.6,18845,_11175.00,_9175.00,_7550.00,_6450.00,0.593,0.4869,0.4006,,0.3423
Audi,A3 Saloon (2013-),Germany,4Dr Saloon Quattro 2.0 TDI DPF SS 184 EU6 S line STron Auto6,4,2.0,30605,_18150.00,_15050.00,_12500.00,_10850.00,0.593,0.4917,0.4084,,0.3545
BMW,2 Series (2013-),Germany,228i 2Dr Coupe 2.0 SS 245 EU6 M Sport Business Media 6Spd,2,2.0,29555,_17525.00,_14400.00,_11825.00,_10100.00,0.593,0.4872,0.4001,,0.3417
BMW,5 Series (2013-),Germany,528i 4Dr Saloon 2.0 SS 245 EU6 Modern Professional Media Auto8,4,2.0,40260,_23875.00,_19625.00,_16100.00,_13750.00,0.593,0.4875,0.3999,,0.3415
Hyundai,i800 (2008-),South Korea,5Dr MPV 2.5 CRDi 170 EU5 Style Auto5,5,2.5,24620,_14600.00,_12025.00,_9875.00,_8425.00,0.593,0.4884,0.4011,,0.3422
Mercedes Benz,E Class (2013-),Germany,E350 5Dr Estate 3.0 CDi BlueTEC DPF SS 252 EU6 AMG Sport 7G-T+ Auto,5,3.0,43045,_25525.00,_20975.00,_17250.00,_14725.00,0.593,0.4873,0.4007,,0.3421
Chevrolet,Camaro (2011-),USA,2Dr Coupe 6.2 V8 400 EU5 Hot Wheels Auto6,2,6.2,41780,_24775.00,_20575.00,_17100.00,_14800.00,0.593,0.4925,0.4093,,0.3542
Kia,Ceed (2012-),South Korea,5Dr Hatchback 1.6 CRDi EcoDynamics DPF SS 126 EU5 2 6Spd,5,1.6,18295,_10850.00,_8925.00,_7325.00,_6250.00,0.5931,0.4878,0.4004,,0.3416
Mercedes Benz,C Class (2011-),Germany,C180 5Dr Estate 1.6 SS 156 EU6 Executive SE Premium 6Spd,5,1.6,29380,_17425.00,_14325.00,_11750.00,_10025.00,0.5931,0.4876,0.3999,,0.3412
Audi,A4 (2011-),Germany,5Dr Avant 1.8 TFSI SS 170 EU6 SE 6Spd,5,1.8,27315,_16200.00,_13300.00,_10925.00,_9325.00,0.5931,0.4869,0.4,,0.3414
Vauxhall,Astra (2012-),Britain,5Dr Hatchback 2.0 CDTi ecoFLEX DPF SS 165 EU5 Tech Line 6Spd,5,2.0,19895,_11800.00,_9700.00,_7975.00,_6825.00,0.5931,0.4876,0.4009,,0.3431
BMW,3 Series (2011-),Germany,328i 4Dr Saloon 2.0 SS 245 EU6 Sport Business Media 6Spd,4,2.0,31655,_18775.00,_15450.00,_12650.00,_10825.00,0.5931,0.4881,0.3996,,0.342
Mercedes Benz,C Class (2011-),Germany,C180 5Dr Estate 1.6 SS 156 EU6 Executive SE Map Pilot 6Spd,5,1.6,28280,_16775.00,_13800.00,_11325.00,_9675.00,0.5932,0.488,0.4005,,0.3421
Audi,A6 (2011-),Germany,4Dr Saloon Quattro 3.0 TDI V6 DPF SS 245 EU5 S line STron Auto7,4,3.0,42315,_25100.00,_20625.00,_16925.00,_14450.00,0.5932,0.4874,0.4,,0.3415
Skoda,Rapid (2012-),Czech,5Dr Spaceback 1.2 TSi 105 EU5 SE 6Spd,5,1.2,16180,_9600.00,_7900.00,_6475.00,_5550.00,0.5933,0.4883,0.4002,,0.343
Hyundai,i30 (2012-),South Korea,5Dr Hatchback 1.4 CRDi DPF 90 EU5 Active 6Spd,5,1.4,17445,_10350.00,_8500.00,_6975.00,_5950.00,0.5933,0.4872,0.3998,,0.3411
Vauxhall,Insignia (2013-),Britain,5Dr Sports Tourer 2.0 CDTi ecoFLEX DPF SS 140 EU5 SRi VX line 6Spd,5,2.0,23514,_13950.00,_11425.00,_9300.00,_7875.00,0.5933,0.4859,0.3955,,0.3349
Volkswagen,Jetta (2011-),Germany,4Dr Saloon 1.6 TDI BlueMotion Tech 105 Sport,4,1.6,21445,_12725.00,_10450.00,_8575.00,_7325.00,0.5934,0.4873,0.3999,,0.3416
Volkswagen,Touran (2010-),Germany,5Dr MPV 1.4 TSI 140 SE DSG Auto7,5,1.4,24475,_14525.00,_11925.00,_9800.00,_8375.00,0.5935,0.4872,0.4004,,0.3422
Audi,A4 (2011-),Germany,4Dr Saloon 1.8 TFSI SS 170 EU6 SE Technik 6Spd,4,1.8,27000,_16025.00,_13175.00,_10825.00,_9225.00,0.5935,0.488,0.4009,,0.3417
Ford,Mondeo (2010-),USA,5Dr Estate 2.0 TDCi DPF 140 EU5 Zetec Business Edition 6Spd,5,2.0,22745,_13500.00,_11050.00,_9000.00,_7650.00,0.5935,0.4858,0.3957,,0.3363
Vauxhall,Insignia (2013-),Britain,5Dr Country Tourer 2.0 CDTi ecoFLEX DPF SS 163 EU5 Nav 6Spd 2WD,5,2.0,25359,_15050.00,_12300.00,_10025.00,_8500.00,0.5935,0.485,0.3953,,0.3352
Volvo,S60 (2013-),Swedish,4Dr Saloon 2.4 D5 DPF SS 215 EU5 SE Lux Nav 6Spd,4,2.4,33445,_19850.00,_16250.00,_13225.00,_11225.00,0.5935,0.4859,0.3954,,0.3356
Suzuki,Splash (2008-),Japan,5Dr MPV 1.0 12V EU5 65 SZ3,5,1.0,10319,_6125.00,_5025.00,_4125.00,_3525.00,0.5936,0.487,0.3997,,0.3416
Toyota,Auris (2012-),Japan,5Dr Hatchback 1.4 D-4D DPF SS 90 EU5 Icon 6Spd,5,1.4,18995,_11275.00,_9300.00,_7600.00,_6500.00,0.5936,0.4896,0.4001,,0.3422
Skoda,Rapid (2012-),Czech,5Dr Hatchback 1.2 TSi 86 EU5 S,5,1.2,13980,_8300.00,_6825.00,_5600.00,_4775.00,0.5937,0.4882,0.4006,,0.3416
Peugeot,308 (2013-),France,5Dr Hatchback 1.6 BlueHDi FAP SS 120 EU6 Active 6Spd,5,1.6,19495,_11575.00,_9525.00,_7825.00,_6675.00,0.5937,0.4886,0.4014,,0.3424
Vauxhall,Cascada (2012-),Britain,2Dr Convertible 2.0 CDTi DPF SS 165 EU5 Elite 6Spd,2,2.0,27875,_16550.00,_13625.00,_11175.00,_9575.00,0.5937,0.4888,0.4009,,0.3435
BMW,3 Series (2011-),Germany,328i 5Dr Touring 2.0 SS 245 EU6 M Sport Business Media 6Spd,5,2.0,34990,_20775.00,_17075.00,_14025.00,_11975.00,0.5937,0.488,0.4008,,0.3422
Skoda,Rapid (2012-),Czech,5Dr Hatchback 1.2 TSi GreenTech SS 86 EU5 S,5,1.2,14230,_8450.00,_6950.00,_5700.00,_4875.00,0.5938,0.4884,0.4006,,0.3426
Volkswagen,Jetta (2011-),Germany,4Dr Saloon 2.0 TDI CR DPF 140 Sport DSG Auto6,4,2.0,23620,_14025.00,_11525.00,_9475.00,_8075.00,0.5938,0.4879,0.4011,,0.3419
BMW,4 Series Gran Coupe (2014-),Germany,435i 5Dr Gran Coupe 3.0 SS 306 EU6 Luxury Auto8,5,3.0,42520,_25250.00,_20750.00,_17025.00,_14550.00,0.5938,0.488,0.4004,,0.3422
Jaguar,XF (2011-),Britain,4Dr Saloon 5.0V8 SS 550 EU5 XFR-S Auto8,4,5.0,79995,_47500.00,_39050.00,_32050.00,_27375.00,0.5938,0.4882,0.4006,,0.3422
Fiat,Qubo (2009-),Italy/USA,5Dr Estate 1.3 16V Multijet DPF SS 95 EU5 My Life,5,1.3,14775,_8775.00,_7200.00,_5900.00,_5050.00,0.5939,0.4873,0.3993,,0.3418
Honda,Jazz (2011-),Japan,5Dr Hatchback 1.4 i-VTEC EU5 99 ES+ CVT Auto,5,1.4,15995,_9500.00,_7800.00,_6400.00,_5450.00,0.5939,0.4877,0.4001,,0.3407
Subaru,XV (2012-),Japan,5Dr SUV 2.0i SS 150 EU5 SE Lux Leather Nav 6Spd,5,2.0,23995,_14250.00,_11700.00,_9600.00,_8225.00,0.5939,0.4876,0.4001,,0.3428
Vauxhall,Insignia (2013-),Britain,5Dr Sports Tourer 2.0 CDTi DPF 130 EU5 Energy 6Spd,5,2.0,22859,_13575.00,_11100.00,_9050.00,_7675.00,0.5939,0.4856,0.3959,,0.3358
Nissan,Note (2013-),Japan,5Dr MPV 1.2 12V SS 80 EU5 Acenta Premium,5,1.2,14395,_8550.00,_7025.00,_5775.00,_4925.00,0.594,0.488,0.4012,,0.3421
Chevrolet,Spark (2013-),USA,5Dr Hatchback 1.2i 81 EU5 LTZ,5,1.2,11195,_6650.00,_5450.00,_4450.00,_3825.00,0.594,0.4868,0.3975,,0.3417
Honda,Civic (2011-),Japan,5Dr Hatchback 1.8 i-VTEC 142 EU5 SE DAB Premium Audio Auto5,5,1.8,20665,_12275.00,_10100.00,_8300.00,_7075.00,0.594,0.4887,0.4016,,0.3424
Vauxhall,Insignia (2013-),Britain,5Dr Hatchback 2.0 CDTi ecoFLEX DPF SS 140 EU5 SRi VX line Nav 6Spd,5,2.0,23064,_13700.00,_11200.00,_9125.00,_7750.00,0.594,0.4856,0.3956,,0.336
Mazda,6 (2012-),Italy,4Dr Saloon 2.0 SKYACTIV SS 165 EU5 Sport SNav 6Spd,4,2.0,24195,_14375.00,_11850.00,_9700.00,_8300.00,0.5941,0.4898,0.4009,,0.343
Audi,A4 (2011-),Germany,5Dr Avant 1.8 TFSI SS 170 EU6 S line 6Spd,5,1.8,29870,_17750.00,_14600.00,_11975.00,_10250.00,0.5942,0.4888,0.4009,,0.3432
Vauxhall,Insignia (2013-),Britain,5Dr Sports Tourer 2.0 CDTi DPF 130 EU5 SRi VX line 6Spd,5,2.0,22424,_13325.00,_10900.00,_8900.00,_7525.00,0.5942,0.4861,0.3969,,0.3356
Vauxhall,Insignia (2013-),Britain,5Dr Sports Tourer 2.0 CDTi DPF 130 EU5 SRi 6Spd,5,2.0,21204,_12600.00,_10325.00,_8400.00,_7125.00,0.5942,0.4869,0.3962,,0.336
Renault,Megane (2013-),France,5Dr Hatchback 1.6 dCi ENERGY FAP SS 130 EU5 GT Line TomTom 6Spd,5,1.6,21245,_12625.00,_10375.00,_8525.00,_7275.00,0.5943,0.4884,0.4013,,0.3424
Skoda,Superb (2013-),Czech,5Dr Estate 2.0 TDi CR DPF SS 170 EU5 Elegance DSG Auto6 4WD,5,2.0,29950,_17800.00,_14650.00,_12025.00,_10275.00,0.5943,0.4891,0.4015,,0.3431
BMW,3 Series (2011-),Germany,335d xDrive 4Dr Saloon 3.0 DPF SS 313 EU6 Luxury Professional Media Auto8,4,3.0,42905,_25500.00,_20975.00,_17200.00,_14725.00,0.5943,0.4889,0.4009,,0.3432
Skoda,Rapid (2012-),Czech,5Dr Hatchback 1.2 TSi 86 EU5 SE,5,1.2,14930,_8875.00,_7300.00,_5975.00,_5125.00,0.5944,0.4889,0.4002,,0.3433
Volvo,V40 (2012-),Swedish,5Dr Hatchback 1.6 D2 DPF SS 115 EU5 SE PwrShift Auto6,5,1.6,23805,_14150.00,_11625.00,_9550.00,_8175.00,0.5944,0.4883,0.4012,,0.3434
BMW,3 Series (2011-),Germany,320i xDrive 5Dr Touring 2.0 SS 184 EU6 Sport Business Media 6Spd,5,2.0,31290,_18600.00,_15300.00,_12525.00,_10700.00,0.5944,0.489,0.4003,,0.342
Skoda,Octavia (2013-),Czech,5Dr Estate 2.0 TFSi SS 220 EU6 vRS DSG Auto6,5,2.0,25950,_15425.00,_12625.00,_10300.00,_8750.00,0.5944,0.4865,0.3969,,0.3372
Seat,Ibiza (2012-),Spanish,5Dr Hatchback 1.2 TSi 105 EU5 I TECH,5,1.2,14340,_8525.00,_7000.00,_5775.00,_4925.00,0.5945,0.4881,0.4027,,0.3434
Skoda,Rapid (2012-),Czech,5Dr Hatchback 1.2 TSi GreenTech SS 86 EU5 SE,5,1.2,15180,_9025.00,_7425.00,_6100.00,_5200.00,0.5945,0.4891,0.4018,,0.3426
Peugeot,Partner Tepee (2012-),France,5Dr MPV 1.6 HDi FAP 92 EU5 Style,5,1.6,16065,_9550.00,_7850.00,_6450.00,_5500.00,0.5945,0.4886,0.4015,,0.3424
Skoda,Yeti Outdoor (2013-),Czech,5Dr SUV 2.0 TDi CR DPF 140 EU5 Lauren & Klement DSG Auto6 4WD,5,2.0,27165,_16150.00,_13375.00,_11125.00,_9625.00,0.5945,0.4924,0.4095,,0.3543
BMW,3 Series (2011-),Germany,328i 4Dr Saloon 2.0 SS 245 EU6 SE Business Media 6Spd,4,2.0,30655,_18225.00,_14975.00,_12300.00,_10500.00,0.5945,0.4885,0.4012,,0.3425
BMW,2 Series (2013-),Germany,220i 2Dr Coupe 2.0 SS 184 EU6 Modern Professional Media Auto8,2,2.0,29480,_17525.00,_14400.00,_11825.00,_10100.00,0.5945,0.4885,0.4011,,0.3426
Vauxhall,Insignia (2013-),Britain,5Dr Hatchback 2.0 CDTi ecoFLEX DPF SS 163 EU5 SRi Nav 6Spd,5,2.0,22204,_13200.00,_10825.00,_8825.00,_7475.00,0.5945,0.4875,0.3975,,0.3367
Vauxhall,Insignia (2013-),Britain,4Dr Saloon 2.0 CDTi ecoFLEX DPF SS 163 EU5 SRi Nav 6Spd,4,2.0,22204,_13200.00,_10825.00,_8825.00,_7475.00,0.5945,0.4875,0.3975,,0.3367
Peugeot,308 (2013-),France,5Dr Hatchback 1.2 e-THP PureTech SS 110 EU6 Access,5,1.2,16145,_9600.00,_7900.00,_6475.00,_5550.00,0.5946,0.4893,0.4011,,0.3438
Skoda,Fabia (2010-),Czech,5Dr Hatchback 1.2 TSi 105 EU5 S DSG Auto7,5,1.2,13035,_7750.00,_6375.00,_5225.00,_4450.00,0.5946,0.4891,0.4008,,0.3414
Volvo,V40 (2012-),Swedish,5Dr Hatchback 1.6 D2 DPF SS 115 EU5 R DESIGN Lux Nav PwrShift Auto6,5,1.6,27455,_16325.00,_13425.00,_11025.00,_9400.00,0.5946,0.489,0.4016,,0.3424
BMW,2 Series (2013-),Germany,228i 2Dr Coupe 2.0 SS 245 EU6 M Sport 6Spd,2,2.0,28255,_16800.00,_13800.00,_11325.00,_9700.00,0.5946,0.4884,0.4008,,0.3433
BMW,3 Series (2011-),Germany,330d xDrive 5Dr Touring 3.0 BluePerformance DPF SS 258 EU6 Luxury Professional Media Auto8,5,3.0,42300,_25150.00,_20675.00,_16975.00,_14500.00,0.5946,0.4888,0.4013,,0.3428
Nissan,Note (2013-),Japan,5Dr MPV 1.2 DIG-S SS 98 EU5 Tekna,5,1.2,16100,_9575.00,_7875.00,_6475.00,_5550.00,0.5947,0.4891,0.4022,,0.3447
Fiat,Punto (2012-),Italy/USA,3Dr Hatchback 1.4 8V SS 77 EU6 Sporting,3,1.4,12360,_7350.00,_6075.00,_4950.00,_4250.00,0.5947,0.4915,0.4005,,0.3439
Citroen,C4 Picasso (2013-),France,5Dr MPV 1.6 THP 155 EU5 Exclusive 6Spd,5,1.6,21060,_12525.00,_10300.00,_8450.00,_7225.00,0.5947,0.4891,0.4012,,0.3431
Lexus,IS (2013-),Japan,250 4Dr Saloon 2.5 V6 208 EU5 F-Sport SNav Levinson Sound Leather Auto6,4,2.5,34890,_20750.00,_17050.00,_14025.00,_11950.00,0.5947,0.4887,0.402,,0.3425
Vauxhall,Adam (2012-),Britain,3Dr Hatchback 1.4 16V 100 EU5 Jam,3,1.4,12105,_7200.00,_5900.00,_4850.00,_4125.00,0.5948,0.4874,0.4007,,0.3408
Fiat,Doblo (2010-),Italy/USA,5Dr MPV High Roof 1.6 16V Multijet DPF SS 105 EU5 Eleganza 6Spd,5,1.6,18535,_11025.00,_9050.00,_7425.00,_6350.00,0.5948,0.4883,0.4006,,0.3426
